episode,total_reward,steps,objects_placed,volume_pct
435,-0.1139,2,1,2.52
436,0.2894,3,2,1.88
437,0.3058,3,2,3.84
438,0.2851,3,2,3.17
439,-0.0985,2,1,1.89
440,-10.0,1,0,0.0
441,-0.1138,2,1,0.63
442,-0.1129,2,1,2.52
443,-10.0,1,0,0.0
444,-0.098,2,1,2.53
445,0.3049,3,2,4.47
446,-0.1142,2,1,1.92
447,-0.1001,2,1,2.54
448,0.2915,3,2,2.55
449,-0.1075,2,1,2.53
450,0.2967,3,2,5.08
451,-0.1108,2,1,1.92
452,-0.1208,2,1,1.89
453,-0.0939,2,1,1.89
454,-10.0,1,0,0.0
455,0.2919,3,2,3.81
456,-0.1034,2,1,2.55
457,0.2796,3,2,5.05
458,-0.1045,2,1,1.25
459,0.2913,3,2,4.44
460,-0.1133,2,1,1.25
461,0.6723,4,3,7.6
462,-0.0934,2,1,1.92
463,-0.1095,2,1,1.92
464,0.279,3,2,3.79
465,-0.1124,2,1,1.25
466,0.2771,3,2,2.51
467,-0.0925,2,1,2.53
468,-0.0981,2,1,2.53
469,-0.1153,2,1,2.52
470,-0.1083,2,1,2.53
471,0.2685,3,2,3.15
472,-0.1142,2,1,0.63
473,-0.1103,2,1,1.9
474,-10.0,1,0,0.0
475,-0.1063,2,1,2.53
476,-0.1126,2,1,2.55
477,-0.0918,2,1,1.89
478,-0.1109,2,1,2.55
479,-0.0973,2,1,2.55
480,0.6935,4,3,5.1
481,-0.1092,2,1,1.89
482,-0.1023,2,1,2.55
483,-0.1141,2,1,0.63
484,0.2798,3,2,5.07
485,-0.0989,2,1,2.55
486,-0.1081,2,1,2.55
487,-0.1056,2,1,2.55
488,0.2799,3,2,4.41
489,-0.107,2,1,1.9
490,-0.1163,2,1,0.63
491,-0.1079,2,1,2.53
492,0.2955,3,2,4.43
493,-0.1141,2,1,0.63
494,-0.1088,2,1,2.55
495,-0.1099,2,1,1.9
496,0.2746,3,2,2.55
497,-0.0989,2,1,2.55
498,0.3086,3,2,5.08
499,0.6643,4,3,5.68
500,0.2823,3,2,4.45
501,0.681,4,3,7.62
502,-0.1131,2,1,2.52
503,-10.0,1,0,0.0
504,-0.1144,2,1,2.52
505,-0.1011,2,1,2.55
506,-0.0989,2,1,2.55
507,-10.0,1,0,0.0
508,-0.1128,2,1,1.25
509,-10.0,1,0,0.0
510,0.2839,3,2,3.14
511,-0.1129,2,1,2.52
512,0.2835,3,2,3.16
513,-0.1084,2,1,2.54
514,-10.0,1,0,0.0
515,-0.117,2,1,0.63
516,-0.1164,2,1,0.63
517,0.2969,3,2,4.47
518,-0.1132,2,1,1.92
519,-0.1093,2,1,2.55
520,-0.0935,2,1,1.92
521,-0.1012,2,1,2.53
522,-0.0984,2,1,2.55
523,-0.1171,2,1,0.63
524,0.2919,3,2,5.05
525,0.688,4,3,6.35
526,-10.0,1,0,0.0
527,0.2895,3,2,4.44
528,0.6825,4,3,6.31
529,-0.1057,2,1,1.89
530,-0.0931,2,1,2.53
531,-0.1105,2,1,1.9
532,-0.1034,2,1,1.9
533,-0.1144,2,1,2.52
534,-0.1095,2,1,1.89
535,0.2912,3,2,4.45
536,0.2938,3,2,3.17
537,-0.1099,2,1,2.55
538,0.2787,3,2,3.81
539,-0.112,2,1,1.9
540,-0.0914,2,1,2.53
541,-0.0987,2,1,2.55
542,0.2998,3,2,4.46
543,0.2855,3,2,5.08
544,-0.1089,2,1,1.89
545,-0.0995,2,1,1.89
546,-0.1083,2,1,2.55
547,-0.1137,2,1,1.25
548,0.6986,4,3,5.06
549,-0.1133,2,1,2.52
550,-0.1139,2,1,2.52
551,-0.0922,2,1,1.89
552,-0.1154,2,1,1.25
553,-0.1094,2,1,1.92
554,-0.1121,2,1,1.92
555,-10.0,1,0,0.0
556,-0.1082,2,1,1.89
557,-0.1083,2,1,2.53
558,-0.1134,2,1,1.25
559,-0.1121,2,1,1.9
560,-0.1027,2,1,2.54
561,0.2594,3,2,2.51
562,-0.1129,2,1,1.92
563,-0.1039,2,1,1.89
564,0.2924,3,2,3.16
565,-10.0,1,0,0.0
566,0.3126,3,2,4.46
567,-0.0933,2,1,2.53
568,-0.1066,2,1,1.89
569,-0.1079,2,1,2.53
570,-0.1004,2,1,2.55
571,-0.1112,2,1,1.92
572,0.2664,3,2,5.04
573,-0.1064,2,1,2.53
574,-0.1082,2,1,2.53
575,-0.1168,2,1,1.25
576,0.2841,3,2,4.44
577,-0.1148,2,1,1.25
578,0.6966,4,3,5.7
579,-0.1094,2,1,2.53
580,-0.1044,2,1,1.25
581,0.3017,3,2,4.42
582,0.6956,4,3,7.61
583,0.2959,3,2,4.43
584,-0.1093,2,1,1.92
585,-0.1101,2,1,1.9
586,0.2741,3,2,5.05
587,0.3002,3,2,4.47
588,0.2764,3,2,2.55
589,-10.0,1,0,0.0
590,-0.1171,2,1,1.25
591,0.2785,3,2,3.16
592,0.3118,3,2,3.78
593,0.2925,3,2,5.09
594,-0.1096,2,1,2.55
595,-0.1032,2,1,2.55
596,-0.1107,2,1,2.55
597,0.2914,3,2,5.06
598,0.3021,3,2,4.41
599,0.2784,3,2,3.15
600,0.2754,3,2,3.17
601,-0.1133,2,1,2.53
602,-0.1139,2,1,0.63
603,-0.1157,2,1,2.55
604,-0.1137,2,1,1.25
605,-0.0958,2,1,1.92
606,-0.0931,2,1,2.53
607,-0.1137,2,1,2.52
608,1.0835,5,4,6.97
609,0.2795,3,2,5.06
610,0.2754,3,2,3.16
611,0.2966,3,2,4.41
612,0.291,3,2,5.05
613,-0.1079,2,1,2.53
614,-0.094,2,1,2.53
615,-0.0938,2,1,1.92
616,0.2766,3,2,2.55
617,-0.1025,2,1,2.53
618,-0.1104,2,1,1.89
619,0.2728,3,2,2.51
620,-0.0998,2,1,2.55
621,0.2908,3,2,4.43
622,-0.0979,2,1,1.25
623,-0.1039,2,1,1.89
624,-0.0937,2,1,1.92
625,-0.1114,2,1,1.89
626,0.2935,3,2,4.44
627,-0.0935,2,1,1.92
628,-0.1118,2,1,1.89
629,-0.1106,2,1,1.92
630,0.2717,3,2,3.17
631,-0.0973,2,1,2.53
632,0.6979,4,3,5.06
633,-10.0,1,0,0.0
634,-0.1073,2,1,2.53
635,1.0883,5,4,8.26
636,-0.1142,2,1,0.63
637,0.2714,3,2,1.25
638,0.2948,3,2,3.79
639,-10.0,1,0,0.0
640,-0.1096,2,1,2.53
641,0.2989,3,2,4.45
642,0.2993,3,2,5.07
643,-0.1082,2,1,2.53
644,0.2894,3,2,3.17
645,-0.1013,2,1,2.55
646,-10.0,1,0,0.0
647,-0.0972,2,1,2.53
648,-0.1133,2,1,1.89
649,0.2887,3,2,5.06
650,0.2919,3,2,2.51
651,0.2894,3,2,5.07
652,-0.0934,2,1,1.92
653,-0.1055,2,1,2.53
654,-0.1125,2,1,1.25
655,-0.1048,2,1,1.9
656,-0.1138,2,1,0.63
657,-0.1106,2,1,2.53
658,0.3061,3,2,4.47
659,-0.114,2,1,2.53
660,-0.1094,2,1,2.53
661,0.2923,3,2,3.15
662,0.6702,4,3,3.79
663,0.6883,4,3,6.34
664,0.2849,3,2,3.82
665,-0.1066,2,1,2.53
666,-0.0972,2,1,2.54
667,0.6848,4,3,5.04
668,-0.0996,2,1,2.55
669,0.2633,3,2,2.55
670,-0.1168,2,1,1.25
671,-0.1043,2,1,2.53
672,-0.0993,2,1,2.55
673,-0.0971,2,1,2.53
674,-0.111,2,1,2.55
675,-0.1022,2,1,2.55
676,0.6591,4,3,3.81
677,-0.1141,2,1,0.63
678,-0.1133,2,1,1.25
679,-0.111,2,1,1.92
680,-0.1141,2,1,2.52
681,-0.1073,2,1,2.53
682,0.2885,3,2,3.18
683,0.2971,3,2,5.05
684,-0.1125,2,1,1.25
685,-0.1123,2,1,1.92
686,-10.0,1,0,0.0
687,0.2972,3,2,4.45
688,-0.0984,2,1,2.55
689,-0.1163,2,1,0.63
690,1.0549,5,4,7.56
691,-0.0971,2,1,2.54
692,-0.1141,2,1,0.63
693,0.2727,3,2,3.15
694,-0.1146,2,1,2.52
695,-0.1023,2,1,2.55
696,-0.0943,2,1,1.92
697,0.6771,4,3,2.51
698,0.2966,3,2,4.42
699,-0.1023,2,1,2.53
700,-0.1169,2,1,1.25
701,0.6877,4,3,6.32
702,-0.095,2,1,2.53
703,-0.0913,2,1,2.53
704,0.2764,3,2,3.16
705,0.2702,3,2,1.88
706,-0.1022,2,1,1.25
